Code,Company,Sector,Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFDIS,African Distillers,Consumer goods,"Alcoholic beverages, beer, lager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRICAN SUN,African Sun,Hospitality,"Hotels, resorts, short term accommodation, Victoria Falls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ZDR,ART Holdings,Manufacturing,"Stationery, tissues, schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTON,Ariston Holdings Limited,Agriculture,"Seed farming, apples farming, macadamia, potato,  tea ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXIA,Axia Holdings,Consumer goods,"Vehicle spares, vehicle maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B A T,BAT,Agriculture,"Tobacco, good harvest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFCA,CAFCA Limited,Manufacturing,"Electronics, cables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBZ,Commercial Bank of Zimbabwe,Financial,"Banking, insurance, investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFI,CFI Holdings,Agriculture,"Milling, retail, poultry, property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIRIBORD,Dairibord Holdings,Consumer goods,"Milk, food, beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTA,Delta Corporation,Manufacturing,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOCASH,Cassava Smarttech,Financial,"Remittances, money transfers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECONET,Econet Zimbabwe,Telecommunications,Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGARS,Edgars Zimbabwe,Retailer,Clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBCH,FBC Holdings,Financial,"Banking, insurance, investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIDELITY,Fidelity Printers and Refiners,"Printing, mining ","Commercial printing, gold refinery, gold buying",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
