company_code,percentage_change_in_seven_days,news_and_updates_count,difference_size,difference_in_days
AFDIS,12.086951382300025,3,27.87516666666667,19.666666666666668
AFRICAN SUN,3.2270176505657986,0,0,0
ART ZDR,2.495280584999076,0,0,0
ARISTON,0,4,-0.021924999999999972,14.75
AXIA,7.580618325526527,1,23.238100000000003,59.0
BAT,0,1,-354.76150000000007,59.0
CAFCA,0,1,0.0,59.0
CBZ,2.1615525056723786,0,0,0
CFI,4.753537968494499,1,8.428600000000003,59.0
DAIRIBORD,0,1,-3.5,59.0
DELTA,5.313454155855287,3,23.36883333333334,19.666666666666668
ECOCASH,6.145045914351016,0,0,0
ECONET,6.598897704481429,1,51.456100000000006,59.0
EDGARS,2.1429713692249015,0,0,0
FBCH,0,0,0,0
FIDELITY,0,2,-2.5,29.5
FCA/BARCLAYS,1.2776261840150258,0,0,0
(fml)/AFRE,1.521801147886206,0,0,0
FMP,0,0,0,0
GB HOLDINGS,0,0,0,0
GET BUCKS,0,1,-1.0,59.0
HIPPO,3.8248714483216584,0,0,0
INNSCOR,7.074548351909925,1,105.9213,59.0
LAFARGE CEMENT,4.874693008278327,0,0,0
MASH  HLDS,0.8822546216674866,2,-0.010199999999999987,29.5
MASIMBA,0,1,-2.098399999999998,59.0
MEDTECH,0,0,0,0
MEDTECH CLASS B,8.683760683760685,0,0,0
MEIK,1.867226154176743,1,13.959500000000006,59.0
NAMPAK,2.689198887094362,1,2.0832999999999995,59.0
NATFOODS,4.369937748937585,2,212.4584000000001,29.5
N T S,5.2319531979458445,0,0,0
N.M.B,3.9944376070592686,0,0,0
OK ZIMBABWE,2.5970759672955217,0,0,0
PROPLASTICS,0.5836659968267791,0,0,0
R T G,0,2,-0.17500000000000027,29.5
RIOZIM,4.591851685692105,0,0,0
SEED-CO,9.038088129225331,3,32.78,19.666666666666668
SIMBISA,8.975002603725006,1,85.6551,59.0
STAR AFRICA,5.394512742983263,0,0,0
TANGANDA,6.2817997313440985,0,0,0
TRUWORTHS,0,1,-0.30369999999999986,59.0
T. S. L,9.22983796296296,0,0,0
TURNALL,6.296287764856586,0,0,0
UNIFREIGHT,1.184001465919328,0,0,0
WILLDALE,0,0,0,0
ZBFH,0,0,0,0
ZECO,104.16666666666667,0,0,0
ZIMPAPERS,0.8291646356058262,0,0,0
ZIMPLOW,0,0,0,0
ZIMRE,0.7333770782937219,0,0,0
